"Year","Date","RoundID","Site","Site_Name","mgmt_area","mgmt_gear","biomass_g_100m2","biomass_g_m2","Start.Date"
2017,2017-07-06,"WHP85",1,"Lapakahi","Open","After",3.772,0.0377,"2017-06-27"
2017,2017-09-12,"WHP86",1,"Lapakahi","Open","After",3.772,0.0377,"2017-09-07"
2017,2017-11-02,"WHP87",1,"Lapakahi","Open","After",0,0,"2017-11-02"
2018,2018-05-03,"WHP88",1,"Lapakahi","Open","After",0,0,"2018-05-01"
2018,2018-06-19,"WHP89",1,"Lapakahi","Open","After",1239.5465,12.3955,"2018-06-19"
2018,2018-09-20,"WHP90",1,"Lapakahi","Open","After",3.772,0.0377,"2018-09-04"
2018,2018-11-01,"WHP91",1,"Lapakahi","Open","After",19.3415,0.1934,"2018-11-01"
2019,2019-04-30,"WHP92",1,"Lapakahi","Open","After",0,0,"2019-04-30"
2019,2019-07-02,"WHP93",1,"Lapakahi","Open","After",3.772,0.0377,"2019-07-02"
2019,2019-10-01,"WHP94",1,"Lapakahi","Open","After",12.2439,0.1224,"2019-09-03"
2007,2007-05-30,"WHP44",2,"Kamilo","Open","Before",478.2169,4.7822,"2007-05-16"
2007,2007-08-08,"WHP45",2,"Kamilo","Open","Before",0,0,"2007-07-12"
2007,2007-09-26,"WHP46",2,"Kamilo","Open","Before",2192.0437,21.9204,"2007-09-04"
2007,2007-11-13,"WHP47",2,"Kamilo","Open","Before",2309.0154,23.0902,"2007-10-23"
2008,2008-06-03,"WHP48",2,"Kamilo","Open","Before",6300.0679,63.0007,"2008-05-20"
2008,2008-08-22,"WHP49",2,"Kamilo","Open","Before",3591.6657,35.9167,"2008-07-08"
2008,2008-09-30,"WHP50",2,"Kamilo","Open","Before",0,0,"2008-09-02"
2008,2008-11-25,"WHP51",2,"Kamilo","Open","Before",352.7155,3.5272,"2008-10-15"
2009,2009-05-28,"WHP52",2,"Kamilo","Open","Before",0,0,"2009-05-06"
2009,2009-07-21,"WHP53",2,"Kamilo","Open","Before",537.5443,5.3754,"2009-07-07"
2009,2009-09-08,"WHP54",2,"Kamilo","Open","Before",4912.7913,49.1279,"2009-09-01"
2009,2009-11-04,"WHP55",2,"Kamilo","Open","Before",2309.0154,23.0902,"2009-10-20"
2010,2010-05-18,"WHP56",2,"Kamilo","Open","Before",1888.8051,18.8881,"2010-05-05"
2010,2010-08-03,"WHP57",2,"Kamilo","Open","Before",2221.184,22.2118,"2010-07-08"
2010,2010-09-28,"WHP58",2,"Kamilo","Open","Before",481.2349,4.8123,"2010-09-07"
2010,2010-11-16,"WHP59",2,"Kamilo","Open","Before",2983.8123,29.8381,"2010-10-19"
2011,2011-05-18,"WHP60",2,"Kamilo","Open","Before",6763.6721,67.6367,"2011-05-03"
2011,2011-07-20,"WHP61",2,"Kamilo","Open","Before",0,0,"2011-07-06"
2011,2011-10-06,"WHP62",2,"Kamilo","Open","Before",337.8835,3.3788,"2011-09-13"
2011,2011-11-23,"WHP63",2,"Kamilo","Open","Before",1552.8066,15.5281,"2011-11-01"
2012,2012-06-12,"WHP64",2,"Kamilo","Open","Before",4846.8679,48.4687,"2012-05-15"
2012,2012-08-01,"WHP65",2,"Kamilo","Open","Before",1476.2293,14.7623,"2012-07-10"
2012,2012-09-06,"WHP66",2,"Kamilo","Open","Before",4569.466,45.6947,"2012-08-28"
2012,2012-12-04,"WHP67",2,"Kamilo","Open","Before",1539.3883,15.3939,"2012-11-08"
2013,2013-05-07,"WHP68",2,"Kamilo","Open","Before",2341.2398,23.4124,"2013-05-02"
2013,2013-08-06,"WHP69",2,"Kamilo","Open","Before",567.7886,5.6779,"2013-07-16"
2013,2013-09-19,"WHP70",2,"Kamilo","Open","Before",2736.8549,27.3685,"2013-09-03"
2013,2013-11-13,"WHP71",2,"Kamilo","Open","Before",133.4538,1.3345,"2013-11-06"
2014,2014-05-06,"WHP72",2,"Kamilo","Open","After",3523.2386,35.2324,"2014-05-06"
2014,2014-07-23,"WHP73",2,"Kamilo","Open","After",758.01,7.5801,"2014-07-02"
2014,2014-09-09,"WHP74",2,"Kamilo","Open","After",462.8696,4.6287,"2014-09-09"
2014,2014-12-03,"WHP75",2,"Kamilo","Open","After",1476.2293,14.7623,"2014-11-05"
2015,2015-05-14,"WHP76",2,"Kamilo","Open","After",0,0,"2015-05-05"
2015,2015-07-23,"WHP77",2,"Kamilo","Open","After",4811.5865,48.1159,"2015-07-02"
2015,2015-09-08,"WHP78",2,"Kamilo","Open","After",2819.9085,28.1991,"2015-09-01"
2015,2015-11-18,"WHP79",2,"Kamilo","Open","After",0,0,"2015-11-03"
2016,2016-05-12,"WHP80",2,"Kamilo","Open","After",1216.8081,12.1681,"2016-05-03"
2016,2016-07-19,"WHP81",2,"Kamilo","Open","After",126.8711,1.2687,"2016-07-07"
2016,2016-09-13,"WHP82",2,"Kamilo","Open","After",1697.5848,16.9758,"2016-09-06"
2016,2016-12-07,"WHP83",2,"Kamilo","Open","After",2144.518,21.4452,"2016-11-10"
2017,2017-05-18,"WHP84",2,"Kamilo","Open","After",0,0,"2017-05-02"
2017,2017-07-06,"WHP85",2,"Kamilo","Open","After",1450.421,14.5042,"2017-06-27"
2017,2017-09-12,"WHP86",2,"Kamilo","Open","After",1216.8081,12.1681,"2017-09-07"
2017,2017-11-02,"WHP87",2,"Kamilo","Open","After",2645.0139,26.4501,"2017-11-02"
2018,2018-05-03,"WHP88",2,"Kamilo","Open","After",1476.2293,14.7623,"2018-05-01"
2018,2018-06-19,"WHP89",2,"Kamilo","Open","After",43.8175,0.4382,"2018-06-19"
2018,2018-09-20,"WHP90",2,"Kamilo","Open","After",458.0056,4.5801,"2018-09-04"
2018,2018-11-01,"WHP91",2,"Kamilo","Open","After",2009.6958,20.097,"2018-11-01"
2019,2019-04-30,"WHP92",2,"Kamilo","Open","After",2608.8861,26.0889,"2019-04-30"
2019,2019-07-02,"WHP93",2,"Kamilo","Open","After",1761.6193,17.6162,"2019-07-02"
2019,2019-10-01,"WHP94",2,"Kamilo","Open","After",880.8097,8.8081,"2019-09-03"
2007,2007-05-30,"WHP44",3,"Waiaka'?lio","FRA","Before",6858.1441,68.5814,"2007-05-16"
2007,2007-08-09,"WHP45",3,"Waiaka'?lio","FRA","Before",1476.2293,14.7623,"2007-07-12"
2007,2007-09-26,"WHP46",3,"Waiaka'?lio","FRA","Before",3985.4696,39.8547,"2007-09-04"
2007,2007-11-13,"WHP47",3,"Waiaka'?lio","FRA","Before",4666.0544,46.6605,"2007-10-23"
2008,2008-06-03,"WHP48",3,"Waiaka'?lio","FRA","Before",6912.3354,69.1234,"2008-05-20"
2008,2008-08-22,"WHP49",3,"Waiaka'?lio","FRA","Before",1828.3846,18.2838,"2008-07-08"
2008,2008-09-30,"WHP50",3,"Waiaka'?lio","FRA","Before",3032.4199,30.3242,"2008-09-02"
2008,2008-11-25,"WHP51",3,"Waiaka'?lio","FRA","Before",19.3415,0.1934,"2008-10-15"
2009,2009-05-29,"WHP52",3,"Waiaka'?lio","FRA","Before",3189.8251,31.8983,"2009-05-06"
2009,2009-07-21,"WHP53",3,"Waiaka'?lio","FRA","Before",880.8097,8.8081,"2009-07-07"
2009,2009-09-08,"WHP54",3,"Waiaka'?lio","FRA","Before",4666.0544,46.6605,"2009-09-01"
2009,2009-11-04,"WHP55",3,"Waiaka'?lio","FRA","Before",2309.0154,23.0902,"2009-10-20"
2010,2010-05-18,"WHP56",3,"Waiaka'?lio","FRA","Before",1621.0075,16.2101,"2010-05-05"
2010,2010-08-03,"WHP57",3,"Waiaka'?lio","FRA","Before",880.8097,8.8081,"2010-07-08"
2010,2010-09-28,"WHP58",3,"Waiaka'?lio","FRA","Before",1523.1294,15.2313,"2010-09-07"
2010,2010-11-16,"WHP59",3,"Waiaka'?lio","FRA","Before",1820.3062,18.2031,"2010-10-19"
2011,2011-05-18,"WHP60",3,"Waiaka'?lio","FRA","Before",335.9985,3.36,"2011-05-03"
2011,2011-07-20,"WHP61",3,"Waiaka'?lio","FRA","Before",2952.4585,29.5246,"2011-07-06"
2011,2011-10-06,"WHP62",3,"Waiaka'?lio","FRA","Before",0,0,"2011-09-13"
2011,2011-11-23,"WHP63",3,"Waiaka'?lio","FRA","Before",2357.0389,23.5704,"2011-11-01"
2012,2012-06-12,"WHP64",3,"Waiaka'?lio","FRA","Before",7023.0933,70.2309,"2012-05-15"
2012,2012-08-01,"WHP65",3,"Waiaka'?lio","FRA","Before",13155.1574,131.5516,"2012-07-10"
2012,2012-09-06,"WHP66",3,"Waiaka'?lio","FRA","Before",335.9985,3.36,"2012-08-28"
2012,2012-12-04,"WHP67",3,"Waiaka'?lio","FRA","Before",0,0,"2012-11-08"
2013,2013-05-07,"WHP68",3,"Waiaka'?lio","FRA","Before",15226.8063,152.2681,"2013-05-02"
2013,2013-08-06,"WHP69",3,"Waiaka'?lio","FRA","Before",578.4383,5.7844,"2013-07-16"
2013,2013-09-19,"WHP70",3,"Waiaka'?lio","FRA","Before",0,0,"2013-09-03"
2013,2013-11-13,"WHP71",3,"Waiaka'?lio","FRA","Before",0,0,"2013-11-06"
2014,2014-05-06,"WHP72",3,"Waiaka'?lio","FRA","After",1216.8081,12.1681,"2014-05-06"
2014,2014-07-23,"WHP73",3,"Waiaka'?lio","FRA","After",1216.8081,12.1681,"2014-07-02"
2014,2014-09-09,"WHP74",3,"Waiaka'?lio","FRA","After",335.9985,3.36,"2014-09-09"
2014,2014-12-03,"WHP75",3,"Waiaka'?lio","FRA","After",2952.4585,29.5246,"2014-11-05"
2015,2015-05-14,"WHP76",3,"Waiaka'?lio","FRA","After",4798.6115,47.9861,"2015-05-05"
2015,2015-07-23,"WHP77",3,"Waiaka'?lio","FRA","After",3237.8486,32.3785,"2015-07-02"
2015,2015-09-08,"WHP78",3,"Waiaka'?lio","FRA","After",1815.9998,18.16,"2015-09-01"
2015,2015-11-18,"WHP79",3,"Waiaka'?lio","FRA","After",1007.6808,10.0768,"2015-11-03"
2016,2016-05-12,"WHP80",3,"Waiaka'?lio","FRA","After",19.3415,0.1934,"2016-05-03"
2016,2016-07-19,"WHP81",3,"Waiaka'?lio","FRA","After",3777.6101,37.7761,"2016-07-07"
2016,2016-09-13,"WHP82",3,"Waiaka'?lio","FRA","After",5930.886,59.3089,"2016-09-06"
2016,2016-12-07,"WHP83",3,"Waiaka'?lio","FRA","After",1206.7703,12.0677,"2016-11-10"
2017,2017-05-18,"WHP84",3,"Waiaka'?lio","FRA","After",671.9969,6.72,"2017-05-02"
2017,2017-07-06,"WHP85",3,"Waiaka'?lio","FRA","After",4148.7936,41.4879,"2017-06-27"
2017,2017-09-12,"WHP86",3,"Waiaka'?lio","FRA","After",0,0,"2017-09-07"
2017,2017-11-02,"WHP87",3,"Waiaka'?lio","FRA","After",1003.8189,10.0382,"2017-11-02"
2018,2018-05-03,"WHP88",3,"Waiaka'?lio","FRA","After",0,0,"2018-05-01"
2018,2018-06-19,"WHP89",3,"Waiaka'?lio","FRA","After",937.5772,9.3758,"2018-06-19"
2018,2018-09-20,"WHP90",3,"Waiaka'?lio","FRA","After",3350.6296,33.5063,"2018-09-04"
2018,2018-11-01,"WHP91",3,"Waiaka'?lio","FRA","After",1532.9969,15.33,"2018-11-01"
2019,2019-04-30,"WHP92",3,"Waiaka'?lio","FRA","After",880.8097,8.8081,"2019-04-30"
2019,2019-07-02,"WHP93",3,"Waiaka'?lio","FRA","After",70.703,0.707,"2019-07-02"
2019,2019-10-01,"WHP94",3,"Waiaka'?lio","FRA","After",3593.1886,35.9319,"2019-09-03"
2007,2007-05-31,"WHP44",4,"Puak?","MPA","Before",1387.3939,13.8739,"2007-05-16"
2007,2007-08-09,"WHP45",4,"Puak?","MPA","Before",383.3568,3.8336,"2007-07-12"
2007,2007-10-02,"WHP46",4,"Puak?","MPA","Before",3269.2801,32.6928,"2007-09-04"
2007,2007-11-14,"WHP47",4,"Puak?","MPA","Before",876.8368,8.7684,"2007-10-23"
2008,2008-06-12,"WHP48",4,"Puak?","MPA","Before",1903.6338,19.0363,"2008-05-20"
2008,2008-08-07,"WHP49",4,"Puak?","MPA","Before",790.528,7.9053,"2008-07-08"
2008,2008-10-08,"WHP50",4,"Puak?","MPA","Before",1373.8623,13.7386,"2008-09-02"
2008,2008-12-02,"WHP51",4,"Puak?","MPA","Before",13.5501,0.1355,"2008-10-15"
2009,2009-06-02,"WHP52",4,"Puak?","MPA","Before",1848.873,18.4887,"2009-05-06"
2009,2009-07-22,"WHP53",4,"Puak?","MPA","Before",7356.3451,73.5635,"2009-07-07"
2009,2009-09-16,"WHP54",4,"Puak?","MPA","Before",3736.78,37.3678,"2009-09-01"
2009,2009-11-03,"WHP55",4,"Puak?","MPA","Before",2497.8443,24.9784,"2009-10-20"
2010,2010-06-03,"WHP56",4,"Puak?","MPA","Before",110.7441,1.1074,"2010-05-05"
2010,2010-08-04,"WHP57",4,"Puak?","MPA","Before",46.9002,0.469,"2010-07-08"
2010,2010-10-06,"WHP58",4,"Puak?","MPA","Before",1084.3468,10.8435,"2010-09-07"
2010,2010-11-10,"WHP59",4,"Puak?","MPA","Before",1063.3777,10.6338,"2010-10-19"
2011,2011-05-19,"WHP60",4,"Puak?","MPA","Before",476.699,4.767,"2011-05-03"
2011,2011-07-19,"WHP61",4,"Puak?","MPA","Before",2542.2065,25.4221,"2011-07-06"
2011,2011-10-05,"WHP62",4,"Puak?","MPA","Before",1268.5947,12.6859,"2011-09-13"
2011,2011-11-29,"WHP63",4,"Puak?","MPA","Before",1367.8343,13.6783,"2011-11-01"
2012,2012-06-07,"WHP64",4,"Puak?","MPA","Before",3674.682,36.7468,"2012-05-15"
2012,2012-08-07,"WHP65",4,"Puak?","MPA","Before",1429.9345,14.2993,"2012-07-10"
2012,2012-10-03,"WHP66",4,"Puak?","MPA","Before",1776.9139,17.7691,"2012-08-28"
2012,2012-12-03,"WHP67",4,"Puak?","MPA","Before",5891.6942,58.9169,"2012-11-08"
2013,2013-06-13,"WHP68",4,"Puak?","MPA","Before",7675.9655,76.7597,"2013-05-02"
2013,2013-08-22,"WHP69",4,"Puak?","MPA","Before",3073.8822,30.7388,"2013-07-16"
2013,2013-09-25,"WHP70",4,"Puak?","MPA","Before",3085.1692,30.8517,"2013-09-03"
2013,2013-11-19,"WHP71",4,"Puak?","MPA","Before",1026.114,10.2611,"2013-11-06"
2014,2014-05-20,"WHP72",4,"Puak?","MPA","After",0,0,"2014-05-06"
2014,2014-07-29,"WHP73",4,"Puak?","MPA","After",2052.1725,20.5217,"2014-07-02"
2014,2014-09-16,"WHP74",4,"Puak?","MPA","After",1747.7901,17.4779,"2014-09-09"
2014,2014-12-08,"WHP75",4,"Puak?","MPA","After",1071.4027,10.714,"2014-11-05"
2015,2015-05-19,"WHP76",4,"Puak?","MPA","After",323.797,3.238,"2015-05-05"
2015,2015-07-07,"WHP77",4,"Puak?","MPA","After",671.9969,6.72,"2015-07-02"
2015,2015-09-22,"WHP78",4,"Puak?","MPA","After",0,0,"2015-09-01"
2015,2015-11-19,"WHP79",4,"Puak?","MPA","After",11846.9998,118.47,"2015-11-03"
2016,2016-05-11,"WHP80",4,"Puak?","MPA","After",2376.5881,23.7659,"2016-05-03"
2016,2016-08-02,"WHP81",4,"Puak?","MPA","After",6078.3814,60.7838,"2016-07-07"
2016,2016-09-22,"WHP82",4,"Puak?","MPA","After",4606.7774,46.0678,"2016-09-06"
2016,2016-12-15,"WHP83",4,"Puak?","MPA","After",1152.2214,11.5222,"2016-11-10"
2017,2017-05-04,"WHP84",4,"Puak?","MPA","After",4235.4775,42.3548,"2017-05-02"
2017,2017-07-11,"WHP85",4,"Puak?","MPA","After",2013.0268,20.1303,"2017-06-27"
2017,2017-09-17,"WHP86",4,"Puak?","MPA","After",5647.16,56.4716,"2017-09-07"
2017,2017-11-07,"WHP87",4,"Puak?","MPA","After",880.8097,8.8081,"2017-11-02"
2018,2018-05-15,"WHP88",4,"Puak?","MPA","After",4504.026,45.0403,"2018-05-01"
2018,2018-06-21,"WHP89",4,"Puak?","MPA","After",2595.9578,25.9596,"2018-06-19"
2018,2018-09-06,"WHP90",4,"Puak?","MPA","After",6494.5758,64.9458,"2018-09-04"
2018,2018-11-07,"WHP91",4,"Puak?","MPA","After",2364.751,23.6475,"2018-11-01"
2019,2019-05-07,"WHP92",4,"Puak?","MPA","After",1765.7858,17.6579,"2019-04-30"
2019,2019-07-12,"WHP93",4,"Puak?","MPA","After",18039.1996,180.392,"2019-07-02"
2019,2019-09-12,"WHP94",4,"Puak?","MPA","After",4122.35,41.2235,"2019-09-03"
2007,2007-05-31,"WHP44",5,"`Anaeho`omalu","FRA","Before",1401.5639,14.0156,"2007-05-16"
2007,2007-08-09,"WHP45",5,"`Anaeho`omalu","FRA","Before",93.8003,0.938,"2007-07-12"
2007,2007-10-02,"WHP46",5,"`Anaeho`omalu","FRA","Before",2575.8347,25.7583,"2007-09-04"
2007,2007-11-14,"WHP47",5,"`Anaeho`omalu","FRA","Before",628.1092,6.2811,"2007-10-23"
2008,2008-06-12,"WHP48",5,"`Anaeho`omalu","FRA","Before",1701.9332,17.0193,"2008-05-20"
2008,2008-08-07,"WHP49",5,"`Anaeho`omalu","FRA","Before",1370.8679,13.7087,"2008-07-08"
2008,2008-10-08,"WHP50",5,"`Anaeho`omalu","FRA","Before",631.2418,6.3124,"2008-09-02"
2008,2008-12-02,"WHP51",5,"`Anaeho`omalu","FRA","Before",1738.1835,17.3818,"2008-10-15"
2009,2009-06-02,"WHP52",5,"`Anaeho`omalu","FRA","Before",304.607,3.0461,"2009-05-06"
2009,2009-07-22,"WHP53",5,"`Anaeho`omalu","FRA","Before",1572.1203,15.7212,"2009-07-07"
2009,2009-09-16,"WHP54",5,"`Anaeho`omalu","FRA","Before",1794.3334,17.9433,"2009-09-01"
2009,2009-11-03,"WHP55",5,"`Anaeho`omalu","FRA","Before",1645.132,16.4513,"2009-10-20"
2010,2010-06-03,"WHP56",5,"`Anaeho`omalu","FRA","Before",1718.85,17.1885,"2010-05-05"
2010,2010-08-04,"WHP57",5,"`Anaeho`omalu","FRA","Before",1250.6957,12.507,"2010-07-08"
2010,2010-10-06,"WHP58",5,"`Anaeho`omalu","FRA","Before",1344.588,13.4459,"2010-09-07"
2010,2010-11-10,"WHP59",5,"`Anaeho`omalu","FRA","Before",1023.1239,10.2312,"2010-10-19"
2011,2011-05-19,"WHP60",5,"`Anaeho`omalu","FRA","Before",1125.6732,11.2567,"2011-05-03"
2011,2011-07-19,"WHP61",5,"`Anaeho`omalu","FRA","Before",336.4567,3.3646,"2011-07-06"
2011,2011-10-05,"WHP62",5,"`Anaeho`omalu","FRA","Before",9342.0635,93.4206,"2011-09-13"
2011,2011-11-29,"WHP63",5,"`Anaeho`omalu","FRA","Before",3116.8236,31.1682,"2011-11-01"
2012,2012-06-07,"WHP64",5,"`Anaeho`omalu","FRA","Before",766.7137,7.6671,"2012-05-15"
2012,2012-08-07,"WHP65",5,"`Anaeho`omalu","FRA","Before",2340.7323,23.4073,"2012-07-10"
2012,2012-10-03,"WHP66",5,"`Anaeho`omalu","FRA","Before",1290.3128,12.9031,"2012-08-28"
2012,2012-12-03,"WHP67",5,"`Anaeho`omalu","FRA","Before",13464.9511,134.6495,"2012-11-08"
2013,2013-06-13,"WHP68",5,"`Anaeho`omalu","FRA","Before",3639.0671,36.3907,"2013-05-02"
2013,2013-08-22,"WHP69",5,"`Anaeho`omalu","FRA","Before",2466.1395,24.6614,"2013-07-16"
2013,2013-09-25,"WHP70",5,"`Anaeho`omalu","FRA","Before",1838.7436,18.3874,"2013-09-03"
2013,2013-11-19,"WHP71",5,"`Anaeho`omalu","FRA","Before",625.555,6.2555,"2013-11-06"
2014,2014-05-20,"WHP72",5,"`Anaeho`omalu","FRA","After",0,0,"2014-05-06"
2014,2014-07-29,"WHP73",5,"`Anaeho`omalu","FRA","After",1420.684,14.2068,"2014-07-02"
2014,2014-09-16,"WHP74",5,"`Anaeho`omalu","FRA","After",238.5786,2.3858,"2014-09-09"
2014,2014-12-08,"WHP75",5,"`Anaeho`omalu","FRA","After",8511.9609,85.1196,"2014-11-05"
2015,2015-05-19,"WHP76",5,"`Anaeho`omalu","FRA","After",259.279,2.5928,"2015-05-05"
2015,2015-07-07,"WHP77",5,"`Anaeho`omalu","FRA","After",1025.5879,10.2559,"2015-07-02"
2015,2015-09-22,"WHP78",5,"`Anaeho`omalu","FRA","After",4213.7733,42.1377,"2015-09-01"
2015,2015-11-19,"WHP79",5,"`Anaeho`omalu","FRA","After",1948.2434,19.4824,"2015-11-03"
2016,2016-05-03,"WHP80",5,"`Anaeho`omalu","FRA","After",411.6859,4.1169,"2016-05-03"
2016,2016-08-02,"WHP81",5,"`Anaeho`omalu","FRA","After",1391.3523,13.9135,"2016-07-07"
2016,2016-09-22,"WHP82",5,"`Anaeho`omalu","FRA","After",1195.7893,11.9579,"2016-09-06"
2016,2016-12-15,"WHP83",5,"`Anaeho`omalu","FRA","After",382.8986,3.829,"2016-11-10"
2017,2017-05-04,"WHP84",5,"`Anaeho`omalu","FRA","After",683.5795,6.8358,"2017-05-02"
2017,2017-07-11,"WHP85",5,"`Anaeho`omalu","FRA","After",1934.9574,19.3496,"2017-06-27"
2017,2017-09-07,"WHP86",5,"`Anaeho`omalu","FRA","After",1565.9282,15.6593,"2017-09-07"
2017,2017-11-07,"WHP87",5,"`Anaeho`omalu","FRA","After",2975.3068,29.7531,"2017-11-02"
2018,2018-05-15,"WHP88",5,"`Anaeho`omalu","FRA","After",144.7783,1.4478,"2018-05-01"
2018,2018-06-21,"WHP89",5,"`Anaeho`omalu","FRA","After",2178.3681,21.7837,"2018-06-19"
2018,2018-09-06,"WHP90",5,"`Anaeho`omalu","FRA","After",3999.137,39.9914,"2018-09-04"
2018,2018-11-07,"WHP91",5,"`Anaeho`omalu","FRA","After",376.514,3.7651,"2018-11-01"
2019,2019-05-07,"WHP92",5,"`Anaeho`omalu","FRA","After",3693.8789,36.9388,"2019-04-30"
2019,2019-07-12,"WHP93",5,"`Anaeho`omalu","FRA","After",3070.0224,30.7002,"2019-07-02"
2019,2019-09-12,"WHP94",5,"`Anaeho`omalu","FRA","After",2219.732,22.1973,"2019-09-03"
2007,2007-05-31,"WHP44",6,"Keawaiki","Open","Before",1212.2382,12.1224,"2007-05-16"
2007,2007-08-09,"WHP45",6,"Keawaiki","Open","Before",1212.8829,12.1288,"2007-07-12"
2007,2007-10-02,"WHP46",6,"Keawaiki","Open","Before",1860.3421,18.6034,"2007-09-04"
2007,2007-11-14,"WHP47",6,"Keawaiki","Open","Before",1528.1252,15.2813,"2007-10-23"
2008,2008-06-12,"WHP48",6,"Keawaiki","Open","Before",890.6403,8.9064,"2008-05-20"
2008,2008-08-07,"WHP49",6,"Keawaiki","Open","Before",0,0,"2008-07-08"
2008,2008-10-08,"WHP50",6,"Keawaiki","Open","Before",161.401,1.614,"2008-09-02"
2008,2008-12-02,"WHP51",6,"Keawaiki","Open","Before",1706.1282,17.0613,"2008-10-15"
2009,2009-06-02,"WHP52",6,"Keawaiki","Open","Before",1060.033,10.6003,"2009-05-06"
2009,2009-07-22,"WHP53",6,"Keawaiki","Open","Before",0,0,"2009-07-07"
2009,2009-09-16,"WHP54",6,"Keawaiki","Open","Before",2119.7228,21.1972,"2009-09-01"
2009,2009-11-03,"WHP55",6,"Keawaiki","Open","Before",3700.3677,37.0037,"2009-10-20"
2010,2010-06-03,"WHP56",6,"Keawaiki","Open","Before",6261.6927,62.6169,"2010-05-05"
2010,2010-08-04,"WHP57",6,"Keawaiki","Open","Before",2695.1722,26.9517,"2010-07-08"
